Category,Product Name,Product Price,Rating,Discount,Past Details,Image URL,Shipped From,Sold By
Computers,"Acer Aspire 13th Gen Intel Core i3-13100 Processor Desktop (Windows 11 Home/8 GB RAM/512 GB SATA SSD/MS Office) with Standard Wired Keyboard and Wired Mouse, 1 Year Warranty","33,990",2.9 out of 5 stars,(33% off),200+ bought in past month,https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Computers,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","14,800",3.4 out of 5 stars,(41% off),M.R.P:,https://m.media-amazon.com/images/I/51pNv0UWQuL._AC_UY218_.jpg,Amazon,SUFI ELECTRONICS
Computers,CHIST Core I5 Desktop Complete Computer System Full Setup for Home & Business(core I5 3470 Processor/ DDR3 8GB Ram/128GB M.2 SSD/500GB HDD/22 Monitor/Keyboard Mouse/Windows 10/ WiFi),"8,490",3.4 out of 5 stars,(92% off),M.R.P:,https://m.media-amazon.com/images/I/31HuAqxwBKL._AC_UY218_.jpg,Amazon,Recyclekart
Computers,"(Refurbished) Dell Optiplex High Performance Desktop Computer (Intel Core i5 3470/ 16 GB RAM/ 1 TB HDD + 256 GB SSD/ Windows 10 Pro/ MS Office/ Intel HD Graphics/ USB/ Ethernet/WiFi), Black","12,299",3.6 out of 5 stars,(86% off),400+ bought in past month,https://m.media-amazon.com/images/I/61XGBj3X18L._AC_UY218_.jpg,Amazon,refurb-PC
Computers,"(Refurbished)Dell OptiPlex 19"" HD All-in-One Desktop Computer Set (Intel i5 3rd Gen| 16 GB RAM| 512 GB SSD| 19"" HD LED Monitor| Wireless KB & Mouse| Speakers| WiFi| Windows 10 Pro| MS Office)","8,899",4.5 out of 5 stars,(91% off),M.R.P.:,https://m.media-amazon.com/images/I/31HuAqxwBKL._AC_UY218_.jpg,Amazon,refurb-PC
Computers,"(Refurbished) Dell Optiplex High Performance Desktop Computer (Intel Core i5 3470/ 16 GB RAM/ 1 TB HDD + 128 GB SSD/ Windows 10 Pro/ MS Office/ Intel HD Graphics/ USB/ Ethernet/WiFi), Black","16,999",5.0 out of 5 stars,(45% off),50+ bought in past month,https://m.media-amazon.com/images/I/613QyTup0xL._AC_UY218_.jpg,Amazon,Cyntexia®
Computers,Cyntexia Computer Desktop PC (Core I7-4770 / 16GB RAM / 512GB SSD/HDMI/VGA/Ethernet/HD Graphics 4600 / USB 3.0 / Win 11) Basic Software Installed,"22,399",3.7 out of 5 stars,(32% off),M.R.P.:,https://m.media-amazon.com/images/I/51R0foIdZuL._AC_UY218_.jpg,Amazon,Cyntexia®
Computers,Cyntexia Computer Desktop PC (Core i7-6th Gen || 16GB RAM || 512GB SSD || HDMI || VGA || Ethernet || HD Graphics 530 || USB 3.0 || Win 11) Basic Software Installed,"85,990",3.5 out of 5 stars,(27% off),M.R.P.:,https://m.media-amazon.com/images/I/71B+HEWkbsL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Computers,"HP All-in-One PC 13th Gen Intel Core i7 27"" (68.6cm) FHD 16GB RAM, 1TB SSD, Intel UMA Graphics, 710 White Wireless Keyboard and Mouse Combo (Windows 11 Home, MSO 21, Shell White, 6.72 Kg) 27-cr0403in","11,490",4.3 out of 5 stars,(85% off),M.R.P:,https://m.media-amazon.com/images/I/61XGBj3X18L._AC_UY218_.jpg,Amazon,refurb-PC
Computers,"(Refurbished)Dell OptiPlex 19"" HD All-in-One Desktop Computer Set (Intel i5 3rd Gen| 8 GB RAM| 256 GB SSD| 19"" HD LED Monitor| Wireless KB & Mouse| Speakers| WiFi| Windows 10 Pro| MS Office)","8,899",4.1 out of 5 stars,(30% off),M.R.P:,https://m.media-amazon.com/images/I/616XMq0mUxL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
